entry_date,entry_price,exit_date,exit_price,pnl_pct,bars_held,exit_reason
2023-01-03T20:43:00,124.77,2023-01-03T22:14:00,124.69,-0.064,91,take_profit
2023-01-04T10:40:00,125.6,2023-01-04T11:04:00,125.96,0.287,24,take_profit
2023-01-04T12:09:00,125.75,2023-01-04T12:44:00,126.24,0.39,35,take_profit
2023-01-04T18:01:00,127.58,2023-01-04T18:57:00,127.25,-0.259,56,stop_loss
2023-01-05T12:45:00,127.22,2023-01-05T12:47:00,127.13,-0.071,2,stop_loss
2023-01-05T20:48:00,127.31,2023-01-05T20:50:00,127.01,-0.236,2,stop_loss
2023-01-05T20:51:00,127.12,2023-01-05T20:54:00,126.76,-0.283,3,stop_loss
2023-01-05T20:55:00,126.75,2023-01-05T23:00:00,127.0,0.197,125,take_profit
2023-01-06T14:40:00,127.14,2023-01-06T14:45:00,126.19,-0.747,5,stop_loss
2023-01-06T21:03:00,129.8,2023-01-06T23:18:00,129.96,0.123,135,take_profit
2023-01-09T10:46:00,130.3,2023-01-09T11:02:00,130.46,0.123,16,take_profit
2023-01-09T11:23:00,130.2,2023-01-09T11:54:00,130.5,0.23,31,take_profit
2023-01-10T20:50:00,132.52,2023-01-10T21:51:00,132.87,0.264,61,take_profit
2023-01-10T22:47:00,132.76,2023-01-10T23:02:00,132.89,0.098,15,take_profit
2023-01-11T18:16:00,133.25,2023-01-11T18:56:00,133.0,-0.188,40,stop_loss
2023-01-11T18:57:00,132.96,2023-01-11T19:05:00,132.72,-0.181,8,stop_loss
2023-01-11T19:06:00,132.57,2023-01-11T20:01:00,132.95,0.287,55,take_profit
2023-01-12T18:28:00,135.96,2023-01-12T18:46:00,136.85,0.655,18,take_profit
2023-01-12T20:10:00,136.9,2023-01-12T21:00:00,136.58,-0.234,50,stop_loss
2023-01-13T18:17:00,136.27,2023-01-13T18:40:00,136.93,0.484,23,take_profit
2023-01-13T21:04:00,136.65,2023-01-13T22:49:00,136.85,0.146,105,take_profit
2023-01-13T23:26:00,136.78,2023-01-13T23:35:00,136.73,-0.037,9,stop_loss
2023-01-17T20:31:00,135.54,2023-01-17T20:45:00,135.32,-0.162,14,stop_loss
2023-01-18T15:37:00,135.78,2023-01-18T15:46:00,135.19,-0.435,9,stop_loss
2023-01-19T16:34:00,134.56,2023-01-19T17:15:00,135.33,0.572,41,take_profit
2023-01-19T20:43:00,136.47,2023-01-19T20:55:00,136.06,-0.3,12,stop_loss
2023-01-19T20:56:00,136.13,2023-01-19T21:00:00,137.19,0.779,4,take_profit
2023-01-20T09:13:00,136.64,2023-01-20T09:15:00,136.57,-0.051,2,stop_loss
2023-01-20T21:19:00,138.9,2023-01-20T22:50:00,139.32,0.302,91,take_profit
2023-01-20T23:08:00,139.15,2023-01-20T23:36:00,139.26,0.079,28,take_profit
2023-01-23T09:00:00,139.06,2023-01-23T09:06:00,139.01,-0.036,6,stop_loss
2023-01-23T18:54:00,142.62,2023-01-23T18:58:00,142.33,-0.203,4,stop_loss
2023-01-23T18:59:00,142.44,2023-01-23T19:47:00,142.1,-0.239,48,stop_loss
2023-01-23T19:48:00,142.14,2023-01-23T20:12:00,143.02,0.619,24,take_profit
2023-01-24T15:36:00,142.99,2023-01-24T15:54:00,144.58,1.112,18,take_profit
2023-01-24T17:02:00,143.76,2023-01-24T17:47:00,143.35,-0.285,45,stop_loss
