datetime,open,close,high,low,volume,status
20260622,243.99,233.03,244.0,232.24,453644,final
20260623,230.17,233.62,236.87,229.36,382251,final
20260624,233.5,233.15,242.42,232.64,463124,final
20260625,233.51,227.01,234.6,225.25,509969,final
20260626,228.0,231.9,233.9,225.27,1484617.0,final
20260629,235.0,240.36,249.71,232.1,535426.0,final
20260630,240.46,239.3,241.54,236.47,444830.0,final
20260701,238.62,241.72,244.9,234.9,385073.0,final
