time (UTC),bid,ask,mid,spread,bid_size,ask_size
21:45:02.000,10.51469,10.51851,10.5166,0.00382,1000000.0,1000000.0
21:45:03.000,10.51449,10.51851,10.5165,0.00402,1000000.0,1000000.0
21:45:03.000,10.51449,10.51861,10.51655,0.00412,1000000.0,1000000.0
21:45:06.000,10.51469,10.51861,10.51665,0.00392,1000000.0,1000000.0
21:45:07.000,10.51449,10.51861,10.51655,0.00412,1000000.0,1000000.0
21:45:12.000,10.51449,10.51901,10.51675,0.00452,1000000.0,1000000.0
21:45:12.000,10.51449,10.5187,10.516595,0.00421,1000000.0,1000000.0
21:45:12.000,10.51449,10.5188,10.516645,0.00431,1000000.0,1000000.0
21:45:13.000,10.51449,10.5189,10.516695,0.00441,1000000.0,1000000.0
21:45:17.000,10.51449,10.51911,10.5168,0.00462,1000000.0,1000000.0
21:45:17.000,10.51449,10.5188,10.516645,0.00431,1000000.0,1000000.0
21:45:17.000,10.51469,10.5188,10.516745,0.00411,1000000.0,1000000.0
21:45:17.000,10.51439,10.5188,10.516595,0.00441,1000000.0,1000000.0
21:45:17.000,10.51459,10.5188,10.516695,0.00421,1000000.0,1000000.0
21:45:17.000,10.51459,10.5187,10.516645,0.00411,1000000.0,1000000.0
21:45:17.000,10.51449,10.5187,10.516595,0.00421,1000000.0,1000000.0
21:45:27.000,10.51449,10.51851,10.5165,0.00402,1000000.0,1000000.0
21:45:27.000,10.51449,10.5187,10.516595,0.00421,1000000.0,1000000.0
21:45:27.000,10.51449,10.51861,10.51655,0.00412,1000000.0,1000000.0
21:45:29.000,10.51449,10.5188,10.516645,0.00431,1000000.0,1000000.0
21:45:29.000,10.51469,10.5188,10.516745,0.00411,1000000.0,1000000.0
21:45:29.000,10.51469,10.51901,10.51685,0.00432,1000000.0,1000000.0
21:45:29.000,10.51439,10.51901,10.5167,0.00462,1000000.0,1000000.0
21:45:29.000,10.51439,10.51911,10.51675,0.00472,1000000.0,1000000.0
21:45:29.000,10.51469,10.51911,10.5169,0.00442,1000000.0,1000000.0
21:45:29.000,10.51469,10.5187,10.516695,0.00401,1000000.0,1000000.0
21:45:29.000,10.51469,10.51911,10.5169,0.00442,1000000.0,1000000.0
21:45:32.000,10.51469,10.5189,10.516795,0.00421,1000000.0,1000000.0
21:45:32.000,10.51449,10.5189,10.516695,0.00441,1000000.0,1000000.0
21:45:32.000,10.51449,10.51911,10.5168,0.00462,1000000.0,1000000.0
21:45:32.000,10.51449,10.5189,10.516695,0.00441,1000000.0,1000000.0
21:45:32.000,10.51449,10.51911,10.5168,0.00462,1000000.0,1000000.0
21:45:35.000,10.51449,10.5189,10.516695,0.00441,1000000.0,1000000.0
21:45:42.000,10.51449,10.5187,10.516595,0.00421,1000000.0,1000000.0
21:45:44.000,10.51449,10.5188,10.516645,0.00431,1000000.0,1000000.0
21:45:44.000,10.51469,10.5188,10.516745,0.00411,1000000.0,1000000.0
21:45:44.000,10.51469,10.51901,10.51685,0.00432,1000000.0,1000000.0
21:45:44.000,10.51439,10.51901,10.5167,0.00462,1000000.0,1000000.0
21:45:44.000,10.51439,10.51911,10.51675,0.00472,1000000.0,1000000.0
21:45:44.000,10.51469,10.51911,10.5169,0.00442,1000000.0,1000000.0
21:45:44.000,10.51469,10.5187,10.516695,0.00401,1000000.0,1000000.0
21:45:44.000,10.51469,10.51911,10.5169,0.00442,1000000.0,1000000.0
21:45:44.000,10.51449,10.51911,10.5168,0.00462,1000000.0,1000000.0
21:45:47.000,10.51449,10.5189,10.516695,0.00441,1000000.0,1000000.0
21:45:49.000,10.51469,10.5189,10.516795,0.00421,1000000.0,1000000.0
21:45:49.000,10.51469,10.51861,10.51665,0.00392,1000000.0,1000000.0
21:45:49.000,10.51449,10.51861,10.51655,0.00412,1000000.0,1000000.0
21:45:49.000,10.51449,10.5187,10.516595,0.00421,1000000.0,1000000.0
21:45:50.000,10.51469,10.5187,10.516695,0.00401,1000000.0,1000000.0
21:45:52.000,10.51449,10.5187,10.516595,0.00421,1000000.0,1000000.0
21:45:54.000,10.51469,10.5187,10.516695,0.00401,1000000.0,1000000.0
21:45:56.000,10.51439,10.5187,10.516545,0.00431,1000000.0,1000000.0
21:45:59.000,10.51469,10.5187,10.516695,0.00401,1000000.0,1000000.0
21:45:59.000,10.51439,10.5187,10.516545,0.00431,1000000.0,1000000.0
21:46:02.000,10.51439,10.51901,10.5167,0.00462,1000000.0,1000000.0
21:46:02.000,10.51439,10.51911,10.51675,0.00472,1000000.0,1000000.0
21:46:02.000,10.51469,10.51911,10.5169,0.00442,1000000.0,1000000.0
21:46:03.000,10.51469,10.51901,10.51685,0.00432,1000000.0,1000000.0
21:46:03.000,10.51469,10.51911,10.5169,0.00442,1000000.0,1000000.0
21:46:03.000,10.51449,10.51911,10.5168,0.00462,1000000.0,1000000.0
