datetime,open,close,high,low,volume,status
20260515,233.0,224.41,236.98,224.24,109312000.0,1
20260518,224.5,222.75,230.64,218.37,110190600.0,1
20260519,222.75,221.54,224.48,217.92,101841300.0,1
20260520,223.29,220.66,226.95,216.25,141031500.0,1
20260521,222.75,220.12,227.4,217.93,153810400.0,1
20260522,220.85,214.28,221.71,214.25,117717300.0,1
20260526,217.06,213.95,218.49,212.0,122747200.0,1
20260527,213.79,211.7,216.5,208.78,113067000.0,1
20260528,211.32,214.15,215.52,209.21,101055400.0,1
20260529,215.3,212.49,217.86,211.14,197490300.0,1
20260601,215.77,223.97,224.99,214.3,133667100.0,1
20260602,228.85,221.79,235.0,220.8,142326300.0,1
20260603,222.52,214.25,224.4,213.13,115905600.0,1
20260604,214.98,216.31,221.6,210.97,105986300.0,1
20260605,215.22,204.04,216.5,204.01,134492200.0,1
20260608,207.38,207.65,210.8,205.29,79027200.0,1
20260609,210.15,206.57,211.4,199.37,112979700.0,1
20260610,206.12,199.19,207.22,198.88,98375400.0,1
20260611,202.6,205.96,206.43,199.54,92208800.0,1
20260612,204.4,205.42,207.07,203.16,81199500.0,1
20260615,209.98,211.93,212.72,207.7,85060200.0,1
20260616,211.45,207.55,212.44,206.95,69074600.0,1
20260617,208.9,206.3,209.21,203.45,90829800.0,1
20260618,206.7,210.33,211.39,205.2,160389700.0,1
20260622,209.95,207.79,213.99,207.64,92417500.0,1
20260623,202.32,200.89,206.27,200.0,105984600.0,1
20260624,201.0,200.66,201.8,196.58,102118200.0,1
20260625,200.8,194.77,202.19,192.13,101832400.0,1
20260626,193.4,192.71,195.55,191.21,111384400.0,1
20260629,194.55,195.14,196.18,189.86,92936300.0,1
20260630,195.25,199.52,200.63,194.43,119692900.0,1
20260701,198.12,197.1,199.85,193.45,102754700.0,1
20260702,196.0,194.44,200.06,192.35,100136200.0,1
20260706,195.2,195.41,197.55,193.99,76527600.0,1
