datetime,open,close,high,low,volume,status
20240702,182.6,185.25,185.57,181.56,332290.0,final
20240703,185.08,185.64,186.09,184.0,187936.0,final
20240705,186.41,190.6,190.86,185.72,377434.0,final
20240708,190.9,189.5,191.32,187.78,368493.0,final
20240709,189.46,189.75,191.36,188.72,271303.0,final
20240710,189.8,191.03,191.75,188.89,282960.0,final
20240711,191.0,185.57,191.89,185.08,491723.0,final
20240712,185.17,184.7,187.11,184.0,427843.0,final
20240715,185.55,187.59,188.24,184.1,291029.0,final
20240716,187.23,183.8,188.68,183.37,311086.0,final
20240717,182.75,181.57,183.55,179.9,374746.0,final
20240718,181.48,178.4,182.75,176.47,464168.0,final
20240719,176.89,177.66,180.29,176.4,320472.0,final
20240722,178.88,181.93,182.7,178.47,436252.0,final
20240723,181.64,177.8,187.18,173.66,636925.0,final
20240724,177.6,172.65,178.46,171.82,906212.0,final
20240725,172.88,166.27,173.42,166.0,810514.0,final
20240726,168.08,166.88,168.87,164.07,726027.0,final
20240729,168.27,168.0,170.43,167.0,360459.0,final
20240730,169.5,169.9,171.23,168.26,332554.0,final
20240731,171.0,172.3,174.25,169.71,514368.0,final
20240801,172.0,170.21,174.05,168.39,427491.0,final
20240802,168.0,166.3,169.22,164.67,533851.0,final
20240805,158.38,160.9,166.25,150.22,975848.0,final
20240806,161.43,157.54,164.8,156.41,982242.0,final
20240807,159.48,157.29,162.98,156.5,438161.0,final
20240808,158.28,162.83,163.69,158.28,451974.0,final
20240809,162.3,163.59,163.94,158.55,543317.0,final
20240812,163.64,162.34,164.9,161.84,287291.0,final
20240813,163.3,162.69,164.73,160.11,347407.0,final
20240814,162.96,159.75,163.75,157.71,767412.0,final
20240815,161.0,161.42,161.64,159.61,595025.0,final
20240816,162.19,162.91,165.06,159.89,442605.0,final
20240819,163.0,167.4,167.4,162.55,380955.0,final
20240820,168.14,167.15,168.64,166.82,286756.0,final
20240821,167.35,166.04,167.82,164.67,383366.0,final
20240822,165.7,164.12,167.59,163.31,376431.0,final
20240823,164.4,165.68,166.18,163.83,263977.0,final
20240826,166.6,166.1,167.55,164.45,225714.0,final
20240827,166.21,164.31,166.79,164.2,200143.0,final
20240828,164.97,161.55,165.6,161.5,308276.0,final
20240829,163.23,162.13,165.97,160.25,345133.0,final
20240830,162.96,163.32,163.71,161.69,386437.0,final
20240903,163.4,157.81,163.83,156.48,563148.0,final
20240904,157.12,156.31,159.0,155.64,348460.0,final
20240905,156.87,156.92,159.45,155.5,318657.0,final
20240906,156.4,150.5,158.16,150.04,674478.0,final
20240909,152.91,149.21,153.4,147.21,671829.0,final
20240910,148.75,148.85,151.27,147.84,494539.0,final
20240911,149.5,151.77,151.98,147.52,501588.0,final
20240912,152.42,155.64,156.0,151.87,536502.0,final
20240913,156.3,157.12,158.38,154.3,549743.0,final
20240916,157.07,158.3,158.6,156.6,324564.0,final
20240917,158.5,159.35,160.55,158.03,392657.0,final
20240918,159.99,160.82,161.0,158.59,442174.0,final
20240919,161.95,162.33,163.99,161.34,493595.0,final
20240920,162.42,163.65,164.31,161.75,704440.0,final
20240923,163.64,161.85,165.49,161.5,418732.0,final
20240924,162.71,162.37,163.22,160.69,452535.0,final
20240925,162.0,161.67,162.81,161.21,351208.0,final
20240926,163.11,163.0,164.08,162.28,358433.0,final
20240927,162.2,163.46,165.7,162.2,389867.0,final
20240930,163.3,165.73,166.15,163.15,339605.0,final
20241001,166.31,166.48,169.16,164.58,529634.0,final
20241002,166.36,166.19,167.52,164.73,324192.0,final
20241003,164.92,165.9,166.64,163.92,257219.0,final
20241004,166.0,166.98,168.22,165.48,338991.0,final
20241007,166.74,163.18,168.48,162.6,422089.0,final
20241008,163.12,164.2,164.73,162.87,309960.0,final
20241009,162.61,161.85,164.84,159.74,581191.0,final
20241010,161.78,162.04,163.07,160.39,247229.0,final
20241011,162.09,163.17,163.9,161.23,285268.0,final
20241014,163.26,165.51,166.23,163.08,297760.0,final
20241015,165.29,165.96,167.68,164.62,339608.0,final
20241016,166.0,164.75,166.15,163.74,279004.0,final
20241017,165.59,163.34,166.37,162.75,406053.0,final
20241018,163.5,163.45,164.71,163.08,322984.0,final
20241021,163.43,164.15,164.5,162.16,379168.0,final
20241022,163.74,165.1,165.77,161.95,300583.0,final
20241023,165.0,163.28,165.82,161.92,319869.0,final
20241024,163.59,162.79,164.0,161.01,398845.0,final
20241025,163.3,165.27,165.59,162.9,336874.0,final
20241028,166.95,167.5,169.0,163.95,540130.0,final
20241029,167.4,179.52,180.99,167.0,777780.0,final
20241030,179.31,173.61,182.02,172.6,1268762.0,final
20241031,172.9,171.17,176.82,170.6,827158.0,final
20241101,171.11,171.08,172.32,168.88,521324.0,final
20241104,171.5,169.1,171.86,168.01,359671.0,final
20241105,169.51,170.18,170.53,168.84,319800.0,final
20241106,172.41,176.29,176.99,171.3,587329.0,final
20241107,176.88,180.88,181.08,176.08,447385.0,final
20241108,180.9,178.55,181.21,178.08,418782.0,final
20241111,178.86,180.16,180.55,178.08,297490.0,final
20241112,180.17,181.31,182.49,179.0,424018.0,final
20241113,181.06,178.91,181.64,178.54,351615.0,final
20241114,179.37,175.15,179.53,174.32,521702.0,final
20241115,174.85,172.86,175.14,171.22,517912.0,final
20241118,173.8,173.55,175.5,172.16,322290.0,final
20241119,173.5,178.33,178.87,173.15,407444.0,final
20241120,178.49,175.6,178.49,173.78,345986.0,final
20241121,175.02,166.93,176.0,163.7,1072368.0,final
20241122,167.4,165.05,167.89,163.9,623272.0,final
20241125,166.49,166.6,168.63,165.17,574610.0,final
20241126,167.66,169.2,169.82,166.99,360182.0,final
20241127,169.13,169.47,169.57,168.02,341459.0,final
20241129,169.44,168.94,169.85,167.16,240988.0,final
20241202,168.8,171.35,172.08,168.5,390339.0,final
20241203,171.62,171.58,172.68,170.85,423426.0,final
20241204,171.92,174.17,174.91,170.82,495068.0,final
20241205,174.17,172.33,176.06,172.08,397062.0,final
20241206,172.69,174.6,175.08,171.86,378165.0,final
20241209,174.85,177.0,177.33,173.42,410622.0,final
20241210,177.8,185.77,186.36,177.32,970142.0,final
20241211,186.35,196.97,196.99,184.2,1150700.0,final
20241212,197.8,191.6,197.97,190.78,593464.0,final
20241213,191.32,189.99,192.78,189.64,405947.0,final
20241216,190.46,196.88,199.0,189.34,812758.0,final
20241217,196.29,195.46,201.42,194.98,735641.0,final
20241218,195.77,189.25,197.0,187.0,582485.0,final
20241219,189.45,187.69,193.03,187.69,551764.0,final
20241220,186.87,192.79,192.89,183.89,950470.0,final
20241223,192.94,194.62,195.1,190.15,434750.0,final
20241224,194.5,196.17,196.3,193.56,185830.0,final
20241226,196.01,195.48,196.93,194.37,217768.0,final
20241227,194.98,192.52,195.45,190.65,340895.0,final
20241230,192.6,190.64,192.71,188.85,256748.0,final
20241231,191.59,189.31,192.66,188.51,333651.0,final
20250102,190.0,189.7,192.0,187.5,373480.0,final
20250103,190.05,191.97,193.21,189.43,318441.0,final
20250106,192.8,197.15,198.23,192.12,525535.0,final
20250107,196.88,194.78,201.0,194.0,461326.0,final
20250108,194.98,193.72,196.29,191.65,463528.0,final
20250110,194.08,191.76,196.52,190.31,454582.0,final
20250113,190.79,192.2,192.35,187.36,410689.0,final
20250114,192.27,190.31,192.66,188.3,301657.0,final
20250115,190.16,195.75,196.36,189.97,379105.0,final
20250116,196.18,192.87,196.56,192.35,291111.0,final
20250117,193.67,196.04,197.23,192.91,484398.0,final
20250121,197.0,197.65,202.29,196.2,549433.0,final
20250122,197.38,198.28,200.48,197.13,453671.0,final
20250123,198.28,197.89,200.3,195.2,434032.0,final
20250124,198.1,200.03,200.9,197.24,454351.0,final
20250127,194.2,192.51,196.88,189.78,690776.0,final
20250128,192.53,195.1,195.48,190.68,431073.0,final
20250129,195.5,197.59,197.67,192.82,321588.0,final
20250130,197.99,201.57,201.57,196.28,460142.0,final
20250131,202.0,202.66,205.48,201.14,551568.0,final
20250203,200.01,203.55,203.75,197.5,482649.0,final
20250204,201.0,190.71,209.51,187.12,804733.0,final
20250205,191.52,191.5,206.38,188.03,1318037.0,final
20250206,191.9,190.89,192.2,188.72,482804.0,final
20250207,190.88,184.78,191.6,183.24,834244.0,final
20250210,184.78,185.99,188.2,184.78,436875.0,final
20250211,185.74,185.25,186.94,184.28,346634.0,final
20250212,185.3,183.84,185.85,181.89,386204.0,final
20250213,182.86,186.34,186.38,182.51,365787.0,final
20250214,186.97,185.24,187.26,184.32,366805.0,final
20250218,186.0,183.91,186.9,181.74,528562.0,final
20250219,183.9,185.11,185.46,183.59,367326.0,final
20250220,184.81,184.69,185.5,182.72,367462.0,final
20250221,184.7,179.44,185.49,179.08,619812.0,final
20250224,180.0,179.01,183.83,178.8,512024.0,final
20250225,178.38,176.23,179.7,174.69,716078.0,final
20250226,176.36,172.75,177.25,171.58,624389.0,final
20250227,174.0,168.38,174.77,167.94,660918.0,final
20250228,169.2,170.52,170.9,166.77,750080.0,final
20250303,170.13,167.99,173.37,165.93,611887.0,final
20250304,167.21,172.54,173.3,165.5,783899.0,final
20250305,172.27,172.99,173.78,169.06,520983.0,final
20250306,172.55,172.77,174.81,170.25,502415.0,final
20250307,172.58,173.71,174.97,170.27,457376.0,final
20250310,173.25,164.2,174.1,163.69,785993.0,final
20250311,164.32,164.23,166.99,161.37,589975.0,final
20250312,164.72,167.7,169.14,163.53,467848.0,final
20250313,166.13,163.81,167.11,162.11,497581.0,final
