datetime,ma200,ma150,ma50
202606301550,418.3863,413.3647,404.7576
202606301551,418.3826,413.3598,404.7429
202606301552,418.3838,413.3614,404.7477
202606301553,418.3846,413.3625,404.7508
202606301554,418.3865,413.365,404.7584
202606301555,418.3881,413.3671,404.7648
202606301556,418.3841,413.3618,404.7488
202606301557,418.3824,413.3595,404.742
202606301558,418.3826,413.3598,404.7428
202606301559,418.3793,413.3554,404.7296
202606301600,418.3797,413.356,404.7313
202606301601,418.3815,413.3583,404.7384
202606301602,418.3835,413.3611,404.7466
202606301603,418.383,413.3604,404.7446
202606301604,418.3831,413.3605,404.7449
202606301605,418.3856,413.3639,404.755
202606301606,418.386,413.3643,404.7564
202606301607,418.3846,413.3624,404.7507
202606301608,418.3872,413.3659,404.7612
202606301609,418.3852,413.3633,404.7534
202606301610,418.3841,413.3618,404.7488
202606301611,418.3835,413.3611,404.7466
202606301612,418.3819,413.3589,404.74
202606301613,418.382,413.3589,404.7402
202606301614,418.381,413.3577,404.7364
202606301615,418.3801,413.3565,404.7329
202606301616,418.3809,413.3576,404.7362
202606301617,418.3815,413.3583,404.7384
202606301618,418.3817,413.3586,404.7392
202606301619,418.3828,413.3601,404.7436
202606301620,418.383,413.3604,404.7446
202606301621,418.3821,413.3591,404.7408
202606301622,418.3843,413.3621,404.7497
202606301623,418.383,413.3603,404.7444
202606301624,418.3839,413.3616,404.7482
202606301625,418.3814,413.3583,404.7382
202606301626,418.3817,413.3587,404.7394
202606301627,418.3828,413.3601,404.7436
202606301628,418.3823,413.3594,404.7416
202606301629,418.3829,413.3603,404.7442
202606301630,418.3847,413.3627,404.7514
202606301631,418.3855,413.3636,404.7543
202606301632,418.3839,413.3615,404.748
202606301633,418.3838,413.3614,404.7476
202606301634,418.3855,413.3637,404.7546
202606301635,418.3849,413.3629,404.752
202606301636,418.3864,413.3649,404.7582
202606301637,418.3875,413.3664,404.7626
202606301638,418.3894,413.3689,404.7702
202606301639,418.3893,413.3687,404.7696
202606301640,418.3883,413.3674,404.7655
202606301641,418.3875,413.3663,404.7624
202606301642,418.3874,413.3663,404.7622
202606301643,418.3876,413.3665,404.7629
202606301644,418.389,413.3683,404.7684
202606301645,418.3912,413.3713,404.7772
202606301646,418.3901,413.3698,404.7729
202606301647,418.3901,413.3699,404.773
202606301648,418.3923,413.3727,404.7815
202606301649,418.3912,413.3713,404.7772
202606301650,418.391,413.371,404.7765
202606301651,418.389,413.3683,404.7684
202606301652,418.3897,413.3692,404.7711
202606301653,418.3897,413.3693,404.7714
202606301654,418.3899,413.3696,404.7722
202606301655,418.3909,413.3709,404.776
202606301656,418.391,413.371,404.7765
202606301657,418.3913,413.3715,404.7778
202606301658,418.3901,413.3698,404.7728
202606301659,418.3904,413.3702,404.774
202606301700,418.3908,413.3707,404.7756
202606301701,418.39,413.3697,404.7725
202606301702,418.3907,413.3706,404.7752
202606301703,418.3924,413.3728,404.7818
202606301704,418.3933,413.374,404.7855
202606301705,418.3916,413.3719,404.779
202606301706,418.3938,413.3747,404.7874
202606301707,418.3966,413.3785,404.7988
202606301708,418.3979,413.3803,404.8042
202606301709,418.3962,413.3779,404.7971
202606301710,418.3963,413.3781,404.7976
202606301711,418.3962,413.378,404.7974
202606301712,418.3948,413.376,404.7915
202606301713,418.3937,413.3746,404.7872
202606301714,418.3941,413.3751,404.7888
202606301715,418.3931,413.3738,404.7848
202606301716,418.3938,413.3747,404.7876
202606301717,418.3941,413.3751,404.7888
202606301718,418.3944,413.3756,404.7901
202606301719,418.3941,413.3751,404.7887
202606301720,418.3921,413.3725,404.7808
202606301721,418.3925,413.373,404.7823
202606301722,418.3932,413.374,404.7854
202606301723,418.3931,413.3738,404.7848
202606301724,418.3943,413.3755,404.7898
202606301725,418.3935,413.3744,404.7865
202606301726,418.3925,413.373,404.7825
202606301727,418.3929,413.3736,404.7841
202606301728,418.3923,413.3728,404.7817
202606301729,418.392,413.3724,404.7806
202606301730,418.3894,413.3689,404.7702
202606301731,418.3873,413.3661,404.7616
202606301732,418.3864,413.3648,404.7579
202606301733,418.3873,413.3661,404.7616
202606301734,418.3871,413.3659,404.761
202606301735,418.3862,413.3645,404.757
202606301736,418.3845,413.3623,404.7504
202606301737,418.3849,413.3629,404.752
202606301738,418.3848,413.3628,404.7517
202606301739,418.3837,413.3613,404.7472
202606301740,418.3845,413.3623,404.7504
202606301741,418.3845,413.3624,404.7506
202606301742,418.384,413.3617,404.7484
202606301743,418.3823,413.3594,404.7416
202606301744,418.384,413.3617,404.7486
202606301745,418.3827,413.36,404.7434
202606301746,418.3843,413.3621,404.7498
202606301747,418.3831,413.3604,404.7447
202606301748,418.383,413.3604,404.7446
202606301749,418.3825,413.3597,404.7426
202606301750,418.3835,413.361,404.7464
