datetime,ma200,ma150,ma50
202606301500,647.654,630.135,606.6042
202606301501,647.6556,630.1372,606.6108
202606301502,647.6584,630.1409,606.6218
202606301503,647.6561,630.1379,606.6128
202606301504,647.6576,630.1398,606.6187
202606301505,647.6588,630.1414,606.6234
202606301506,647.6554,630.1368,606.6097
202606301507,647.657,630.1391,606.6164
202606301508,647.6584,630.1408,606.6217
202606301509,647.6631,630.1472,606.6408
202606301510,647.6641,630.1485,606.6447
202606301511,647.663,630.147,606.6402
202606301512,647.6645,630.1491,606.6464
202606301513,647.6657,630.1506,606.6511
202606301514,647.6664,630.1515,606.6538
202606301515,647.6648,630.1494,606.6474
202606301516,647.6666,630.1518,606.6546
202606301517,647.6675,630.1529,606.658
202606301518,647.6662,630.1513,606.6532
202606301519,647.6668,630.1521,606.6555
202606301520,647.6696,630.1558,606.6667
202606301521,647.6689,630.1548,606.6637
202606301522,647.67,630.1564,606.6684
202606301523,647.6701,630.1565,606.6686
202606301524,647.6729,630.1602,606.6798
202606301525,647.6719,630.1589,606.6758
202606301526,647.6727,630.1599,606.679
202606301527,647.6744,630.1623,606.686
202606301528,647.6739,630.1616,606.684
202606301529,647.6723,630.1594,606.6775
202606301530,647.671,630.1577,606.6723
202606301531,647.6702,630.1566,606.669
202606301532,647.6708,630.1574,606.6714
202606301533,647.6726,630.1598,606.6785
202606301534,647.6768,630.1654,606.6954
202606301535,647.6748,630.1627,606.6874
202606301536,647.6772,630.166,606.6972
202606301537,647.674,630.1617,606.6842
202606301538,647.6753,630.1634,606.6894
202606301539,647.6768,630.1655,606.6956
202606301540,647.6739,630.1616,606.6839
202606301541,647.6765,630.1651,606.6944
202606301542,647.6763,630.1647,606.6934
202606301543,647.6771,630.1659,606.6968
202606301544,647.6736,630.1611,606.6825
202606301545,647.6764,630.1649,606.6938
202606301546,647.6767,630.1652,606.6949
202606301547,647.6769,630.1656,606.696
202606301548,647.6742,630.1619,606.6849
202606301549,647.6768,630.1654,606.6954
202606301550,647.6755,630.1637,606.6904
202606301551,647.6741,630.1618,606.6846
202606301552,647.6723,630.1595,606.6776
202606301553,647.6737,630.1613,606.6832
202606301554,647.6781,630.1671,606.7006
202606301555,647.6788,630.168,606.7032
202606301556,647.6793,630.1687,606.7054
202606301557,647.6785,630.1677,606.7022
202606301558,647.677,630.1657,606.6962
202606301559,647.6783,630.1675,606.7016
202606301600,647.6792,630.1686,606.7051
202606301601,647.6796,630.1691,606.7066
202606301602,647.6789,630.1682,606.7039
202606301603,647.6785,630.1677,606.7022
202606301604,647.6782,630.1673,606.701
202606301605,647.6793,630.1687,606.7053
202606301606,647.6782,630.1673,606.7011
202606301607,647.6766,630.1651,606.6945
202606301608,647.6756,630.1639,606.6908
202606301609,647.6758,630.1641,606.6914
202606301610,647.6744,630.1622,606.6858
202606301611,647.6772,630.1659,606.697
202606301612,647.6735,630.161,606.6822
202606301613,647.6742,630.162,606.6852
202606301614,647.6735,630.1611,606.6824
202606301615,647.6717,630.1587,606.6752
202606301616,647.6727,630.16,606.6792
202606301617,647.6735,630.161,606.6822
202606301618,647.6729,630.1602,606.6798
202606301619,647.6731,630.1605,606.6807
202606301620,647.6704,630.1569,606.67
202606301621,647.6703,630.1567,606.6694
202606301622,647.6711,630.1579,606.6728
202606301623,647.6713,630.1581,606.6736
202606301624,647.6721,630.1591,606.6766
202606301625,647.6686,630.1545,606.6626
202606301626,647.6704,630.1569,606.6698
202606301627,647.673,630.1604,606.6804
202606301628,647.6736,630.1611,606.6825
202606301629,647.6723,630.1594,606.6774
202606301630,647.6727,630.16,606.6792
202606301631,647.6737,630.1613,606.6832
202606301632,647.6732,630.1607,606.6812
202606301633,647.6756,630.1638,606.6907
202606301634,647.6756,630.1639,606.6908
202606301635,647.6747,630.1626,606.6869
202606301636,647.6759,630.1642,606.6917
202606301637,647.6757,630.1639,606.691
202606301638,647.6761,630.1645,606.6926
202606301639,647.6763,630.1648,606.6936
202606301640,647.6765,630.1651,606.6944
202606301641,647.6821,630.1724,606.7165
202606301642,647.6809,630.1709,606.712
202606301643,647.6803,630.1701,606.7095
202606301644,647.682,630.1723,606.7162
202606301645,647.6816,630.1719,606.7148
202606301646,647.681,630.171,606.7121
202606301647,647.6816,630.1718,606.7146
202606301648,647.6834,630.1743,606.722
202606301649,647.6857,630.1773,606.7312
202606301650,647.6868,630.1788,606.7356
202606301651,647.684,630.175,606.7243
202606301652,647.6848,630.1761,606.7276
202606301653,647.6851,630.1765,606.7287
202606301654,647.6848,630.176,606.7273
202606301655,647.6857,630.1773,606.731
202606301656,647.6864,630.1782,606.7339
202606301657,647.6852,630.1767,606.7292
202606301658,647.6861,630.1778,606.7327
202606301659,647.6873,630.1795,606.7376
202606301700,647.6886,630.1811,606.7426
202606301701,647.6866,630.1785,606.7346
202606301702,647.6875,630.1797,606.7384
202606301703,647.6856,630.1772,606.7308
202606301704,647.6869,630.1789,606.736
202606301705,647.6875,630.1797,606.7382
202606301706,647.6867,630.1786,606.7351
202606301707,647.6889,630.1816,606.744
202606301708,647.6881,630.1805,606.7407
202606301709,647.6857,630.1773,606.7311
202606301710,647.6855,630.177,606.7301
202606301711,647.6848,630.1761,606.7276
202606301712,647.6849,630.1762,606.7278
202606301713,647.6843,630.1754,606.7253
202606301714,647.6837,630.1746,606.723
202606301715,647.6851,630.1765,606.7288
202606301716,647.6854,630.1769,606.7298
202606301717,647.6856,630.1772,606.7308
202606301718,647.6867,630.1786,606.735
202606301719,647.688,630.1803,606.7402
202606301720,647.6874,630.1796,606.738
202606301721,647.6894,630.1822,606.7458
202606301722,647.6926,630.1865,606.7587
202606301723,647.6933,630.1874,606.7615
202606301724,647.6931,630.1871,606.7606
202606301725,647.6921,630.1858,606.7566
202606301726,647.6924,630.1862,606.7577
202606301727,647.6875,630.1797,606.7384
202606301728,647.6878,630.1801,606.7396
202606301729,647.6873,630.1794,606.7374
202606301730,647.6871,630.1792,606.7368
202606301731,647.6873,630.1794,606.7375
202606301732,647.6932,630.1873,606.7612
202606301733,647.6925,630.1863,606.7581
202606301734,647.6945,630.189,606.7663
202606301735,647.6926,630.1865,606.7588
202606301736,647.6922,630.186,606.7572
202606301737,647.6927,630.1867,606.7592
202606301738,647.6925,630.1863,606.7582
202606301739,647.6891,630.1819,606.7448
202606301740,647.6893,630.1821,606.7454
202606301741,647.6897,630.1826,606.747
202606301742,647.6889,630.1815,606.7436
202606301743,647.688,630.1803,606.7402
202606301744,647.6919,630.1855,606.7556
202606301745,647.6931,630.1872,606.7608
202606301746,647.6928,630.1867,606.7592
202606301747,647.6923,630.1861,606.7574
202606301748,647.6921,630.1858,606.7566
202606301749,647.691,630.1843,606.7522
202606301750,647.6909,630.1841,606.7516
202606301751,647.6928,630.1867,606.7594
202606301752,647.6917,630.1853,606.7551
202606301753,647.6914,630.1849,606.7538
202606301754,647.6909,630.1842,606.7518
202606301755,647.6921,630.1859,606.7568
202606301756,647.694,630.1883,606.7642
202606301757,647.6931,630.1871,606.7606
202606301758,647.6933,630.1874,606.7614
202606301759,647.6917,630.1852,606.7549
202606301800,647.6952,630.1899,606.769
202606301801,647.6946,630.1892,606.7668
