datetime,ma200,ma150,ma50
202607011021,198.7129,198.4748,198.6467
202607011022,198.7111,198.4716,198.6564
202607011023,198.7056,198.4688,198.6672
202607011024,198.7039,198.4653,198.6768
202607011025,198.7021,198.4618,198.6861
202607011026,198.7001,198.4584,198.6961
202607011027,198.6989,198.4561,198.7079
202607011028,198.6975,198.4538,198.7193
202607011029,198.6953,198.4498,198.7279
202607011030,198.6928,198.454,198.7331
202607011031,198.6899,198.4577,198.7374
202607011032,198.6877,198.4632,198.7446
202607011033,198.6862,198.4687,198.7518
202607011034,198.6848,198.4748,198.7596
202607011035,198.6843,198.4818,198.7698
202607011036,198.6829,198.4891,198.7788
202607011037,198.6816,198.4952,198.7872
202607011038,198.6802,198.5014,198.7954
202607011039,198.6781,198.5075,198.8034
202607011040,198.6766,198.5142,198.8144
202607011041,198.6748,198.5204,198.8245
202607011042,198.6724,198.5254,198.8343
202607011043,198.6693,198.5294,198.8373
202607011044,198.6661,198.533,198.8413
202607011045,198.6627,198.5363,198.8448
202607011046,198.6595,198.54,198.8492
202607011047,198.6561,198.5439,198.8534
202607011048,198.6527,198.5479,198.8574
202607011049,198.6495,198.5519,198.8604
202607011050,198.6465,198.5574,198.8626
202607011051,198.643,198.5622,198.8649
202607011052,198.6401,198.5678,198.8684
202607011053,198.6372,198.5739,198.872
202607011054,198.6343,198.5795,198.874
202607011055,198.6315,198.5854,198.8776
202607011056,198.6288,198.5913,198.8826
202607011057,198.6259,198.5965,198.8868
202607011058,198.6231,198.6019,198.8902
202607011059,198.6203,198.6065,198.8928
202607011100,198.6181,198.6117,198.9004
202607011101,198.6166,198.6183,198.91
202607011102,198.6156,198.626,198.9208
202607011103,198.6149,198.6346,198.9338
202607011104,198.6144,198.643,198.9481
202607011105,198.6144,198.6514,198.9631
202607011106,198.6145,198.6599,198.9751
202607011107,198.6148,198.6693,198.9875
202607011108,198.6147,198.6782,198.9997
202607011109,198.6145,198.687,199.0121
202607011110,198.6143,198.6959,199.0223
202607011111,198.6137,198.7039,199.0305
202607011112,198.6126,198.7103,199.0357
202607011113,198.6107,198.7151,199.0363
202607011114,198.6081,198.7195,199.0367
202607011115,198.6058,198.724,199.0379
202607011116,198.6036,198.7287,199.0393
202607011117,198.6018,198.7331,199.0389
202607011118,198.6,198.7375,199.0385
202607011119,198.5971,198.7415,199.0391
202607011120,198.6005,198.7449,199.0401
202607011121,198.6035,198.7475,199.041
202607011122,198.6074,198.75,199.04
202607011123,198.6112,198.7521,199.0386
202607011124,198.6154,198.7549,199.037
202607011125,198.6197,198.7583,199.0334
202607011126,198.6246,198.7615,199.0311
202607011127,198.6286,198.7649,199.0287
202607011128,198.6329,198.7684,199.0273
202607011129,198.6367,198.7709,199.0241
202607011130,198.641,198.7741,199.0212
202607011131,198.6446,198.7767,199.0174
202607011132,198.6482,198.7791,199.0164
202607011133,198.6517,198.7813,199.0184
202607011134,198.6546,198.7833,199.0194
202607011135,198.6571,198.7858,199.0195
202607011136,198.6588,198.787,199.0153
202607011137,198.6609,198.7884,199.0119
202607011138,198.6631,198.7899,199.0089
202607011139,198.6654,198.7914,199.0058
202607011140,198.6688,198.7939,199.0028
202607011141,198.6717,198.7957,199.0
202607011142,198.6749,198.7974,198.9962
202607011143,198.6786,198.7989,198.9924
202607011144,198.682,198.8014,198.9892
202607011145,198.6857,198.8038,198.9864
202607011146,198.6893,198.8056,198.9832
202607011147,198.6928,198.8079,198.9816
202607011148,198.696,198.8093,198.978
202607011149,198.6989,198.8113,198.9762
202607011150,198.7013,198.8132,198.9702
